song;album;artist;year;duration
Ka Hoibe Soch;Mehr oder Weniger;Texta;2021;241
Mehr oder Weniger;Mehr oder Weniger;Texta;2021;220
Zeitraum des Seins;Mehr oder Weniger;Texta;2021;238
Habitus;Mehr oder Weniger;Texta;2021;213
Attitüde;Mehr oder Weniger;Texta;2021;211
Silberstreif;Mehr oder Weniger;Texta;2021;222
Blindflug;Mehr oder Weniger;Texta;2021;234
Ein Besserer Ort;Mehr oder Weniger;Texta;2021;209
Stehend K.o.;Mehr oder Weniger;Texta;2021;213
Zdeppat;Mehr oder Weniger;Texta;2021;244
Schneeregn;Mehr oder Weniger;Texta;2021;260
Mit Dir;Mehr oder Weniger;Texta;2021;255
Vasprochn;Mehr oder Weniger;Texta;2021;273
Ois Ok Mama;Nichts dagegen, aber;Texta;2016;243
Das Game;Nichts dagegen, aber;Texta;2016;201
Schweben im Nirgendo;Nichts dagegen, aber;Texta;2016;270
waunimadeng;Nichts dagegen, aber;Texta;2016;212
Alpenraps;Nichts dagegen, aber;Texta;2016;253
Alpenfunk Interlude;Nichts dagegen, aber;Texta;2016;112
Hotel Melancholie;Nichts dagegen, aber;Texta;2016;233
Austrian Psychos ft. Kreisky;Nichts dagegen, aber;Texta;2016;260
Maschin Interlude;Nichts dagegen, aber;Texta;2016;75
Butter vom Brot;Nichts dagegen, aber;Texta;2016;260
Nix aus Prinzip;Nichts dagegen, aber;Texta;2016;204
Kopfhelikopter;Nichts dagegen, aber;Texta;2016;265
WWW;Nichts dagegen, aber;Texta;2016;360
Dieser Track;Nichts dagegen, aber;Texta;2016;248
Grotesk Intro ft. Fiva;grotesk;Texta;2011;65
Nicht Genug;grotesk;Texta;2011;222
Oba Wie;grotesk;Texta;2011;213
Die Dramaturgie der Ereignisse;grotesk;Texta;2011;249
You're Driving Me Wild;grotesk;Texta;2011;257
Mein Baby;grotesk;Texta;2011;295
Imma So;grotesk;Texta;2011;226
Grotesk ft. Soprano & Average;grotesk;Texta;2011;271
Ka Genie;grotesk;Texta;2011;245
So Änderst Du Nichts;grotesk;Texta;2011;271
Der Die Des;grotesk;Texta;2011;279
Strange;grotesk;Texta;2011;253
Heaven;grotesk;Texta;2011;258
Wo?Hin! ft. Lylit;grotesk;Texta;2011;373
Paroli;Paroli;Texta;2007;288
